row_type,candidate_id,all_validation_positive_runs,all_validation_negative_runs,positive_target_runs,negative_target_runs,normal_positive_overlap_runs,cross_hazard_slip_candidate_positive_runs,profile_speed_coverage,stable_prefall_positive_runs,positive_duration_ms,onset_count,fall_confounded_samples,invalid_contamination_samples,physical_independent_of_fusion10,validity_gate_uses_loaded_contact_but_positive_criterion_is_physical,reproducible_fixed_definition,physical_label_ready,minimum_locked_score_separation_evidence,operational_label_ready,normal_fp_not_renamed,fast_reflex_reason,closed_loop_recovery_effect_claimed,run_id,role,profile,speed_mps,positive_run,positive_samples,first_onset_sample,normal_overlap,stable_prefall_positive,locked_score,locked_threshold,negative_samples,sample_auroc,positive_score_median,stable_negative_score_p95,median_minus_negative_p95,detected_target_runs_at_locked_threshold,normal_score_fp_runs_at_locked_threshold,minimum_separation_evidence_pass
run,B_support_degradation_risk,,,,,,,,,,0,0,0,,,,,,,,,,sand_solref_interpolation_2of3_0p10_v02,sink_candidate,sand_solref_interpolation_2of3,0.1,False,0,,False,False,,,,,,,,,,
run,B_support_degradation_risk,,,,,,,,,,0,0,0,,,,,,,,,,marble_native_0p15_v02,hard_negative,marble,0.15,False,0,,False,False,,,,,,,,,,
run,B_support_degradation_risk,,,,,,,,,,0,0,0,,,,,,,,,,concrete_native_0p15_v02,hard_negative,concrete,0.15,False,0,,False,False,,,,,,,,,,
run,B_support_degradation_risk,,,,,,,,,,0,0,0,,,,,,,,,,sand_hardened_0p15_v02,hard_negative,sand_walking_support_v1_hardened,0.15,False,0,,False,False,,,,,,,,,,
run,B_support_degradation_risk,,,,,,,,,,0,0,0,,,,,,,,,,ice_native_0p15_v02,slip_candidate,ice,0.15,False,0,,False,False,,,,,,,,,,
run,B_support_degradation_risk,,,,,,,,,,0,0,0,,,,,,,,,,sand_solref_interpolation_1of3_0p15_v02,sink_candidate,sand_solref_interpolation_1of3,0.15,False,0,,False,False,,,,,,,,,,
run,B_support_degradation_risk,,,,,,,,,,0,0,0,,,,,,,,,,sand_solref_interpolation_2of3_0p15_v02,sink_candidate,sand_solref_interpolation_2of3,0.15,False,0,,False,False,,,,,,,,,,
run,B_support_degradation_risk,,,,,,,,,,0,0,0,,,,,,,,,,marble_native_0p20_v02,hard_negative,marble,0.2,False,0,,False,False,,,,,,,,,,
run,B_support_degradation_risk,,,,,,,,,,0,0,0,,,,,,,,,,concrete_native_0p20_v02,hard_negative,concrete,0.2,False,0,,False,False,,,,,,,,,,
run,B_support_degradation_risk,,,,,,,,,,0,0,0,,,,,,,,,,sand_hardened_0p20_v02,hard_negative,sand_walking_support_v1_hardened,0.2,False,0,,False,False,,,,,,,,,,
run,B_support_degradation_risk,,,,,,,,,,0,0,0,,,,,,,,,,ice_native_0p20_v02,slip_candidate,ice,0.2,False,0,,False,False,,,,,,,,,,
run,B_support_degradation_risk,,,,,,,,,,0,0,0,,,,,,,,,,sand_solref_interpolation_1of3_0p20_v02,sink_candidate,sand_solref_interpolation_1of3,0.2,False,0,,False,False,,,,,,,,,,
run,B_support_degradation_risk,,,,,,,,,,0,0,0,,,,,,,,,,sand_solref_interpolation_2of3_0p20_v02,sink_candidate,sand_solref_interpolation_2of3,0.2,False,0,,False,False,,,,,,,,,,
locked_score_separability,B_support_degradation_risk,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,A_stateless_20ms,0.9999999995857579,29710,,,0.6568683360759348,,0,0,False
locked_score_separability,B_support_degradation_risk,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,B_causal_50ms,0.999998989924307,29710,,,0.36145243668526866,,0,0,False
locked_score_separability,B_support_degradation_risk,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,C_dual_history_200ms,0.9,29710,,,0.6429186928798275,,0,9,False
locked_score_separability,B_support_degradation_risk,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,D_touchdown_stateful_200ms,0.9,29710,,,0.4718607285498756,,0,9,False
aggregate,C_recovery_required_sink,0,18,0,6,0,0,"{""sand_solref_interpolation_1of3"": {""0.10"": 0, ""0.15"": 0, ""0.20"": 0}, ""sand_solref_interpolation_2of3"": {""0.10"": 0, ""0.15"": 0, ""0.20"": 0}}",0,0,0,0,0,True,True,True,False,False,False,True,penetration plus support/base degradation could justify unloading or recovery arbitration; benefit remains untested,False,,,,,,,,,,,,,,,,,,,
run,C_recovery_required_sink,,,,,,,,,,0,0,0,,,,,,,,,,marble_native_0p10_v02,hard_negative,marble,0.1,False,0,,False,False,,,,,,,,,,
run,C_recovery_required_sink,,,,,,,,,,0,0,0,,,,,,,,,,concrete_native_0p10_v02,hard_negative,concrete,0.1,False,0,,False,False,,,,,,,,,,
run,C_recovery_required_sink,,,,,,,,,,0,0,0,,,,,,,,,,sand_hardened_0p10_v02,hard_negative,sand_walking_support_v1_hardened,0.1,False,0,,False,False,,,,,,,,,,
run,C_recovery_required_sink,,,,,,,,,,0,0,0,,,,,,,,,,ice_native_0p10_v02,slip_candidate,ice,0.1,False,0,,False,False,,,,,,,,,,
run,C_recovery_required_sink,,,,,,,,,,0,0,0,,,,,,,,,,sand_solref_interpolation_1of3_0p10_v02,sink_candidate,sand_solref_interpolation_1of3,0.1,False,0,,False,False,,,,,,,,,,
run,C_recovery_required_sink,,,,,,,,,,0,0,0,,,,,,,,,,sand_solref_interpolation_2of3_0p10_v02,sink_candidate,sand_solref_interpolation_2of3,0.1,False,0,,False,False,,,,,,,,,,
run,C_recovery_required_sink,,,,,,,,,,0,0,0,,,,,,,,,,marble_native_0p15_v02,hard_negative,marble,0.15,False,0,,False,False,,,,,,,,,,
run,C_recovery_required_sink,,,,,,,,,,0,0,0,,,,,,,,,,concrete_native_0p15_v02,hard_negative,concrete,0.15,False,0,,False,False,,,,,,,,,,
run,C_recovery_required_sink,,,,,,,,,,0,0,0,,,,,,,,,,sand_hardened_0p15_v02,hard_negative,sand_walking_support_v1_hardened,0.15,False,0,,False,False,,,,,,,,,,
run,C_recovery_required_sink,,,,,,,,,,0,0,0,,,,,,,,,,ice_native_0p15_v02,slip_candidate,ice,0.15,False,0,,False,False,,,,,,,,,,
run,C_recovery_required_sink,,,,,,,,,,0,0,0,,,,,,,,,,sand_solref_interpolation_1of3_0p15_v02,sink_candidate,sand_solref_interpolation_1of3,0.15,False,0,,False,False,,,,,,,,,,
run,C_recovery_required_sink,,,,,,,,,,0,0,0,,,,,,,,,,sand_solref_interpolation_2of3_0p15_v02,sink_candidate,sand_solref_interpolation_2of3,0.15,False,0,,False,False,,,,,,,,,,
run,C_recovery_required_sink,,,,,,,,,,0,0,0,,,,,,,,,,marble_native_0p20_v02,hard_negative,marble,0.2,False,0,,False,False,,,,,,,,,,
run,C_recovery_required_sink,,,,,,,,,,0,0,0,,,,,,,,,,concrete_native_0p20_v02,hard_negative,concrete,0.2,False,0,,False,False,,,,,,,,,,
run,C_recovery_required_sink,,,,,,,,,,0,0,0,,,,,,,,,,sand_hardened_0p20_v02,hard_negative,sand_walking_support_v1_hardened,0.2,False,0,,False,False,,,,,,,,,,
run,C_recovery_required_sink,,,,,,,,,,0,0,0,,,,,,,,,,ice_native_0p20_v02,slip_candidate,ice,0.2,False,0,,False,False,,,,,,,,,,
run,C_recovery_required_sink,,,,,,,,,,0,0,0,,,,,,,,,,sand_solref_interpolation_1of3_0p20_v02,sink_candidate,sand_solref_interpolation_1of3,0.2,False,0,,False,False,,,,,,,,,,
run,C_recovery_required_sink,,,,,,,,,,0,0,0,,,,,,,,,,sand_solref_interpolation_2of3_0p20_v02,sink_candidate,sand_solref_interpolation_2of3,0.2,False,0,,False,False,,,,,,,,,,
locked_score_separability,C_recovery_required_sink,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,A_stateless_20ms,0.9999999995857579,29710,,,0.6568683360759348,,0,0,False
locked_score_separability,C_recovery_required_sink,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,B_causal_50ms,0.999998989924307,29710,,,0.36145243668526866,,0,0,False
locked_score_separability,C_recovery_required_sink,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,C_dual_history_200ms,0.9,29710,,,0.6429186928798275,,0,9,False
locked_score_separability,C_recovery_required_sink,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,D_touchdown_stateful_200ms,0.9,29710,,,0.4718607285498756,,0,9,False
