detector,source_checkpoint,run_id,variation,speed_mps,terrain,profile,gait_phase,split_ownership,window_count,positive_windows,window_ms,window_semantics
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_1of3_0p10_v00,0,0.1,sand,sand_solref_interpolation_1of3,PUSH_OFF,walking_train,50,150,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_1of3_0p10_v00,0,0.1,sand,sand_solref_interpolation_1of3,TOUCHDOWN,walking_train,56,168,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_2of3_0p10_v00,0,0.1,sand,sand_solref_interpolation_2of3,LOADING,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_2of3_0p10_v00,0,0.1,sand,sand_solref_interpolation_2of3,MID_STANCE,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_2of3_0p10_v00,0,0.1,sand,sand_solref_interpolation_2of3,PUSH_OFF,walking_train,50,150,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_2of3_0p10_v00,0,0.1,sand,sand_solref_interpolation_2of3,TOUCHDOWN,walking_train,60,180,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,marble_native_0p15_v00,0,0.15,marble,marble,LOADING,walking_train,64,64,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,marble_native_0p15_v00,0,0.15,marble,marble,MID_STANCE,walking_train,64,64,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,marble_native_0p15_v00,0,0.15,marble,marble,PUSH_OFF,walking_train,50,50,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,marble_native_0p15_v00,0,0.15,marble,marble,TOUCHDOWN,walking_train,51,51,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,concrete_native_0p15_v00,0,0.15,concrete,concrete,LOADING,walking_train,64,0,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,concrete_native_0p15_v00,0,0.15,concrete,concrete,MID_STANCE,walking_train,64,0,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,concrete_native_0p15_v00,0,0.15,concrete,concrete,PUSH_OFF,walking_train,50,0,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,concrete_native_0p15_v00,0,0.15,concrete,concrete,TOUCHDOWN,walking_train,45,0,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_hardened_0p15_v00,0,0.15,sand,sand_walking_support_v1_hardened,LOADING,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_hardened_0p15_v00,0,0.15,sand,sand_walking_support_v1_hardened,MID_STANCE,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_hardened_0p15_v00,0,0.15,sand,sand_walking_support_v1_hardened,PUSH_OFF,walking_train,50,150,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_hardened_0p15_v00,0,0.15,sand,sand_walking_support_v1_hardened,TOUCHDOWN,walking_train,50,150,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,ice_native_0p15_v00,0,0.15,ice,ice,LOADING,walking_train,64,128,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,ice_native_0p15_v00,0,0.15,ice,ice,MID_STANCE,walking_train,64,128,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,ice_native_0p15_v00,0,0.15,ice,ice,PUSH_OFF,walking_train,64,128,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,ice_native_0p15_v00,0,0.15,ice,ice,TOUCHDOWN,walking_train,64,128,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_1of3_0p15_v00,0,0.15,sand,sand_solref_interpolation_1of3,LOADING,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_1of3_0p15_v00,0,0.15,sand,sand_solref_interpolation_1of3,MID_STANCE,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_1of3_0p15_v00,0,0.15,sand,sand_solref_interpolation_1of3,PUSH_OFF,walking_train,50,150,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_1of3_0p15_v00,0,0.15,sand,sand_solref_interpolation_1of3,TOUCHDOWN,walking_train,50,150,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_2of3_0p15_v00,0,0.15,sand,sand_solref_interpolation_2of3,LOADING,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_2of3_0p15_v00,0,0.15,sand,sand_solref_interpolation_2of3,MID_STANCE,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_2of3_0p15_v00,0,0.15,sand,sand_solref_interpolation_2of3,PUSH_OFF,walking_train,50,150,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_2of3_0p15_v00,0,0.15,sand,sand_solref_interpolation_2of3,TOUCHDOWN,walking_train,50,150,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,marble_native_0p20_v00,0,0.2,marble,marble,LOADING,walking_train,64,64,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,marble_native_0p20_v00,0,0.2,marble,marble,MID_STANCE,walking_train,64,64,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,marble_native_0p20_v00,0,0.2,marble,marble,PUSH_OFF,walking_train,50,50,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,marble_native_0p20_v00,0,0.2,marble,marble,TOUCHDOWN,walking_train,52,52,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,concrete_native_0p20_v00,0,0.2,concrete,concrete,LOADING,walking_train,64,0,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,concrete_native_0p20_v00,0,0.2,concrete,concrete,MID_STANCE,walking_train,64,0,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,concrete_native_0p20_v00,0,0.2,concrete,concrete,PUSH_OFF,walking_train,50,0,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,concrete_native_0p20_v00,0,0.2,concrete,concrete,TOUCHDOWN,walking_train,41,0,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_hardened_0p20_v00,0,0.2,sand,sand_walking_support_v1_hardened,LOADING,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_hardened_0p20_v00,0,0.2,sand,sand_walking_support_v1_hardened,MID_STANCE,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_hardened_0p20_v00,0,0.2,sand,sand_walking_support_v1_hardened,PUSH_OFF,walking_train,50,150,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_hardened_0p20_v00,0,0.2,sand,sand_walking_support_v1_hardened,TOUCHDOWN,walking_train,50,150,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,ice_native_0p20_v00,0,0.2,ice,ice,LOADING,walking_train,64,128,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,ice_native_0p20_v00,0,0.2,ice,ice,MID_STANCE,walking_train,64,128,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,ice_native_0p20_v00,0,0.2,ice,ice,PUSH_OFF,walking_train,64,128,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,ice_native_0p20_v00,0,0.2,ice,ice,TOUCHDOWN,walking_train,64,128,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_1of3_0p20_v00,0,0.2,sand,sand_solref_interpolation_1of3,LOADING,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_1of3_0p20_v00,0,0.2,sand,sand_solref_interpolation_1of3,MID_STANCE,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_1of3_0p20_v00,0,0.2,sand,sand_solref_interpolation_1of3,PUSH_OFF,walking_train,50,150,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_1of3_0p20_v00,0,0.2,sand,sand_solref_interpolation_1of3,TOUCHDOWN,walking_train,50,150,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_2of3_0p20_v00,0,0.2,sand,sand_solref_interpolation_2of3,LOADING,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_2of3_0p20_v00,0,0.2,sand,sand_solref_interpolation_2of3,MID_STANCE,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_2of3_0p20_v00,0,0.2,sand,sand_solref_interpolation_2of3,PUSH_OFF,walking_train,50,150,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_2of3_0p20_v00,0,0.2,sand,sand_solref_interpolation_2of3,TOUCHDOWN,walking_train,58,174,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,marble_native_0p10_v01,1,0.1,marble,marble,LOADING,walking_train,64,64,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,marble_native_0p10_v01,1,0.1,marble,marble,MID_STANCE,walking_train,64,64,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,marble_native_0p10_v01,1,0.1,marble,marble,PUSH_OFF,walking_train,60,60,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,marble_native_0p10_v01,1,0.1,marble,marble,TOUCHDOWN,walking_train,50,50,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,concrete_native_0p10_v01,1,0.1,concrete,concrete,LOADING,walking_train,64,0,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,concrete_native_0p10_v01,1,0.1,concrete,concrete,MID_STANCE,walking_train,64,0,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,concrete_native_0p10_v01,1,0.1,concrete,concrete,PUSH_OFF,walking_train,60,0,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,concrete_native_0p10_v01,1,0.1,concrete,concrete,TOUCHDOWN,walking_train,56,0,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_hardened_0p10_v01,1,0.1,sand,sand_walking_support_v1_hardened,LOADING,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_hardened_0p10_v01,1,0.1,sand,sand_walking_support_v1_hardened,MID_STANCE,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_hardened_0p10_v01,1,0.1,sand,sand_walking_support_v1_hardened,PUSH_OFF,walking_train,60,180,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_hardened_0p10_v01,1,0.1,sand,sand_walking_support_v1_hardened,TOUCHDOWN,walking_train,60,180,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,ice_native_0p10_v01,1,0.1,ice,ice,LOADING,walking_train,64,128,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,ice_native_0p10_v01,1,0.1,ice,ice,MID_STANCE,walking_train,64,128,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,ice_native_0p10_v01,1,0.1,ice,ice,PUSH_OFF,walking_train,64,128,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,ice_native_0p10_v01,1,0.1,ice,ice,TOUCHDOWN,walking_train,64,128,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_1of3_0p10_v01,1,0.1,sand,sand_solref_interpolation_1of3,LOADING,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_1of3_0p10_v01,1,0.1,sand,sand_solref_interpolation_1of3,MID_STANCE,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_1of3_0p10_v01,1,0.1,sand,sand_solref_interpolation_1of3,PUSH_OFF,walking_train,60,180,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_1of3_0p10_v01,1,0.1,sand,sand_solref_interpolation_1of3,TOUCHDOWN,walking_train,50,150,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_2of3_0p10_v01,1,0.1,sand,sand_solref_interpolation_2of3,LOADING,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_2of3_0p10_v01,1,0.1,sand,sand_solref_interpolation_2of3,MID_STANCE,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_2of3_0p10_v01,1,0.1,sand,sand_solref_interpolation_2of3,PUSH_OFF,walking_train,60,180,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_2of3_0p10_v01,1,0.1,sand,sand_solref_interpolation_2of3,TOUCHDOWN,walking_train,58,174,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,marble_native_0p15_v01,1,0.15,marble,marble,LOADING,walking_train,64,64,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,marble_native_0p15_v01,1,0.15,marble,marble,MID_STANCE,walking_train,64,64,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,marble_native_0p15_v01,1,0.15,marble,marble,PUSH_OFF,walking_train,60,60,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,marble_native_0p15_v01,1,0.15,marble,marble,TOUCHDOWN,walking_train,53,53,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,concrete_native_0p15_v01,1,0.15,concrete,concrete,LOADING,walking_train,64,0,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,concrete_native_0p15_v01,1,0.15,concrete,concrete,MID_STANCE,walking_train,64,0,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,concrete_native_0p15_v01,1,0.15,concrete,concrete,PUSH_OFF,walking_train,60,0,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,concrete_native_0p15_v01,1,0.15,concrete,concrete,TOUCHDOWN,walking_train,50,0,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_hardened_0p15_v01,1,0.15,sand,sand_walking_support_v1_hardened,LOADING,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_hardened_0p15_v01,1,0.15,sand,sand_walking_support_v1_hardened,MID_STANCE,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_hardened_0p15_v01,1,0.15,sand,sand_walking_support_v1_hardened,PUSH_OFF,walking_train,60,180,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_hardened_0p15_v01,1,0.15,sand,sand_walking_support_v1_hardened,TOUCHDOWN,walking_train,50,150,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,ice_native_0p15_v01,1,0.15,ice,ice,LOADING,walking_train,64,128,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,ice_native_0p15_v01,1,0.15,ice,ice,MID_STANCE,walking_train,64,128,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,ice_native_0p15_v01,1,0.15,ice,ice,PUSH_OFF,walking_train,64,128,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,ice_native_0p15_v01,1,0.15,ice,ice,TOUCHDOWN,walking_train,64,128,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_1of3_0p15_v01,1,0.15,sand,sand_solref_interpolation_1of3,LOADING,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_1of3_0p15_v01,1,0.15,sand,sand_solref_interpolation_1of3,MID_STANCE,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_1of3_0p15_v01,1,0.15,sand,sand_solref_interpolation_1of3,PUSH_OFF,walking_train,60,180,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_1of3_0p15_v01,1,0.15,sand,sand_solref_interpolation_1of3,TOUCHDOWN,walking_train,50,150,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_2of3_0p15_v01,1,0.15,sand,sand_solref_interpolation_2of3,LOADING,walking_train,35,105,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_2of3_0p15_v01,1,0.15,sand,sand_solref_interpolation_2of3,MID_STANCE,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_2of3_0p15_v01,1,0.15,sand,sand_solref_interpolation_2of3,PUSH_OFF,walking_train,14,42,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_2of3_0p15_v01,1,0.15,sand,sand_solref_interpolation_2of3,TOUCHDOWN,walking_train,10,30,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,marble_native_0p20_v01,1,0.2,marble,marble,LOADING,walking_train,64,64,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,marble_native_0p20_v01,1,0.2,marble,marble,MID_STANCE,walking_train,64,64,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,marble_native_0p20_v01,1,0.2,marble,marble,PUSH_OFF,walking_train,60,60,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,marble_native_0p20_v01,1,0.2,marble,marble,TOUCHDOWN,walking_train,56,56,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,concrete_native_0p20_v01,1,0.2,concrete,concrete,LOADING,walking_train,64,0,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,concrete_native_0p20_v01,1,0.2,concrete,concrete,MID_STANCE,walking_train,64,0,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,concrete_native_0p20_v01,1,0.2,concrete,concrete,PUSH_OFF,walking_train,60,0,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,concrete_native_0p20_v01,1,0.2,concrete,concrete,TOUCHDOWN,walking_train,51,0,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_hardened_0p20_v01,1,0.2,sand,sand_walking_support_v1_hardened,LOADING,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_hardened_0p20_v01,1,0.2,sand,sand_walking_support_v1_hardened,MID_STANCE,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_hardened_0p20_v01,1,0.2,sand,sand_walking_support_v1_hardened,PUSH_OFF,walking_train,60,180,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_hardened_0p20_v01,1,0.2,sand,sand_walking_support_v1_hardened,TOUCHDOWN,walking_train,50,150,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,ice_native_0p20_v01,1,0.2,ice,ice,LOADING,walking_train,64,128,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,ice_native_0p20_v01,1,0.2,ice,ice,MID_STANCE,walking_train,64,128,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,ice_native_0p20_v01,1,0.2,ice,ice,PUSH_OFF,walking_train,64,128,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,ice_native_0p20_v01,1,0.2,ice,ice,TOUCHDOWN,walking_train,64,128,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_1of3_0p20_v01,1,0.2,sand,sand_solref_interpolation_1of3,LOADING,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_1of3_0p20_v01,1,0.2,sand,sand_solref_interpolation_1of3,MID_STANCE,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_1of3_0p20_v01,1,0.2,sand,sand_solref_interpolation_1of3,PUSH_OFF,walking_train,60,180,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_1of3_0p20_v01,1,0.2,sand,sand_solref_interpolation_1of3,TOUCHDOWN,walking_train,50,150,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_2of3_0p20_v01,1,0.2,sand,sand_solref_interpolation_2of3,LOADING,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_2of3_0p20_v01,1,0.2,sand,sand_solref_interpolation_2of3,MID_STANCE,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_2of3_0p20_v01,1,0.2,sand,sand_solref_interpolation_2of3,PUSH_OFF,walking_train,60,180,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_2of3_0p20_v01,1,0.2,sand,sand_solref_interpolation_2of3,TOUCHDOWN,walking_train,54,162,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,marble_native_0p10_v02,2,0.1,marble,marble,LOADING,walking_validation,100,100,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,marble_native_0p10_v02,2,0.1,marble,marble,MID_STANCE,walking_validation,1492,1492,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,marble_native_0p10_v02,2,0.1,marble,marble,PUSH_OFF,walking_validation,50,50,50,"causal [t-L+1,t]"
