run_id,source_acquisition_version,role,severity,source_valid,eligibility,training_eligible,reason,included,exclusion_enforced
control_0p10_right_mid_late_stance_native_strong_ice_v2,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_left_early_loading_native_strong_ice_v0,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p15_left_early_loading_native_strong_ice_v0,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_left_early_loading_native_strong_ice_v1,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p15_left_early_loading_native_strong_ice_v1,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_left_early_loading_native_strong_ice_v2,v5_strong,positive,native_strong_ice,False,FAILED_SOURCE_DIAGNOSTIC_ONLY,False,failed source retained for diagnosis only,False,True
control_0p15_left_early_loading_native_strong_ice_v2,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_left_mid_loading_early_stance_native_strong_ice_v0,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p15_left_mid_loading_early_stance_native_strong_ice_v0,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_left_mid_loading_early_stance_native_strong_ice_v1,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p15_left_mid_loading_early_stance_native_strong_ice_v1,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_left_mid_loading_early_stance_native_strong_ice_v2,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p15_left_mid_loading_early_stance_native_strong_ice_v2,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_left_mid_late_stance_native_strong_ice_v0,v5_strong,positive,native_strong_ice,False,FAILED_SOURCE_DIAGNOSTIC_ONLY,False,failed source retained for diagnosis only,False,True
control_0p15_left_mid_late_stance_native_strong_ice_v0,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_left_mid_late_stance_native_strong_ice_v1,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p15_left_mid_late_stance_native_strong_ice_v1,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_left_mid_late_stance_native_strong_ice_v2,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p15_left_mid_late_stance_native_strong_ice_v2,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_right_early_loading_native_strong_ice_v0,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p15_right_early_loading_native_strong_ice_v0,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_right_early_loading_native_strong_ice_v1,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p15_right_early_loading_native_strong_ice_v1,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_right_early_loading_native_strong_ice_v2,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p15_right_early_loading_native_strong_ice_v2,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_right_mid_loading_early_stance_native_strong_ice_v0,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p15_right_mid_loading_early_stance_native_strong_ice_v0,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_right_mid_loading_early_stance_native_strong_ice_v1,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p15_right_mid_loading_early_stance_native_strong_ice_v1,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_right_mid_loading_early_stance_native_strong_ice_v2,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p15_right_mid_loading_early_stance_native_strong_ice_v2,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_right_mid_late_stance_native_strong_ice_v0,v5_strong,positive,native_strong_ice,False,FAILED_SOURCE_DIAGNOSTIC_ONLY,False,failed source retained for diagnosis only,False,True
control_0p15_right_mid_late_stance_native_strong_ice_v0,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_right_mid_late_stance_native_strong_ice_v1,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p15_right_mid_late_stance_native_strong_ice_v1,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_right_mid_late_stance_native_strong_ice_v2,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p15_right_mid_late_stance_native_strong_ice_v2,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p20_left_early_loading_native_strong_ice_v0,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p20_left_early_loading_native_strong_ice_v0,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p20_left_early_loading_native_strong_ice_v1,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p20_left_early_loading_native_strong_ice_v1,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p20_left_early_loading_native_strong_ice_v2,v5_strong,positive,native_strong_ice,False,FAILED_SOURCE_DIAGNOSTIC_ONLY,False,failed source retained for diagnosis only,False,True
control_0p20_left_early_loading_native_strong_ice_v2,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p20_left_mid_loading_early_stance_native_strong_ice_v0,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p20_left_mid_loading_early_stance_native_strong_ice_v0,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p20_left_mid_loading_early_stance_native_strong_ice_v1,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p20_left_mid_loading_early_stance_native_strong_ice_v1,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p20_left_mid_loading_early_stance_native_strong_ice_v2,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p20_left_mid_loading_early_stance_native_strong_ice_v2,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p20_left_mid_late_stance_native_strong_ice_v0,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p20_left_mid_late_stance_native_strong_ice_v0,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p20_left_mid_late_stance_native_strong_ice_v1,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p20_left_mid_late_stance_native_strong_ice_v1,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p20_left_mid_late_stance_native_strong_ice_v2,v5_strong,positive,native_strong_ice,False,FAILED_SOURCE_DIAGNOSTIC_ONLY,False,failed source retained for diagnosis only,False,True
control_0p20_left_mid_late_stance_native_strong_ice_v2,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p20_right_early_loading_native_strong_ice_v0,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p20_right_early_loading_native_strong_ice_v0,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p20_right_early_loading_native_strong_ice_v1,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p20_right_early_loading_native_strong_ice_v1,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p20_right_early_loading_native_strong_ice_v2,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p20_right_early_loading_native_strong_ice_v2,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p20_right_mid_loading_early_stance_native_strong_ice_v0,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p20_right_mid_loading_early_stance_native_strong_ice_v0,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p20_right_mid_loading_early_stance_native_strong_ice_v1,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p20_right_mid_loading_early_stance_native_strong_ice_v1,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p20_right_mid_loading_early_stance_native_strong_ice_v2,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p20_right_mid_loading_early_stance_native_strong_ice_v2,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p20_right_mid_late_stance_native_strong_ice_v0,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p20_right_mid_late_stance_native_strong_ice_v0,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p20_right_mid_late_stance_native_strong_ice_v1,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p20_right_mid_late_stance_native_strong_ice_v1,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p20_right_mid_late_stance_native_strong_ice_v2,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p20_right_mid_late_stance_native_strong_ice_v2,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p10_left_early_loading_v0_M1,v7_moderate_v2,positive,moderate_v2,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p10_left_early_loading_v0_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p10_left_early_loading_v1_M1,v7_moderate_v2,positive,moderate_v2,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p10_left_early_loading_v1_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p10_left_early_loading_v2_M1,v7_moderate_v2,positive,moderate_v2,False,FAILED_SOURCE_DIAGNOSTIC_ONLY,False,failed source retained for diagnosis only,False,True
control_0p10_left_early_loading_v2_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p10_left_mid_loading_early_stance_v0_M1,v7_moderate_v2,positive,moderate_v2,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p10_left_mid_loading_early_stance_v0_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p10_left_mid_loading_early_stance_v1_M1,v7_moderate_v2,positive,moderate_v2,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p10_left_mid_loading_early_stance_v1_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p10_left_mid_loading_early_stance_v2_M1,v7_moderate_v2,positive,moderate_v2,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p10_left_mid_loading_early_stance_v2_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p10_left_mid_late_stance_v0_M1,v7_moderate_v2,positive,moderate_v2,False,FAILED_SOURCE_DIAGNOSTIC_ONLY,False,failed source retained for diagnosis only,False,True
control_0p10_left_mid_late_stance_v0_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p10_left_mid_late_stance_v1_M1,v7_moderate_v2,positive,moderate_v2,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p10_left_mid_late_stance_v1_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p10_left_mid_late_stance_v2_M1,v7_moderate_v2,positive,moderate_v2,False,FAILED_SOURCE_DIAGNOSTIC_ONLY,False,failed source retained for diagnosis only,False,True
control_0p10_left_mid_late_stance_v2_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p10_right_early_loading_v0_M1,v7_moderate_v2,positive,moderate_v2,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p10_right_early_loading_v0_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p10_right_early_loading_v1_M1,v7_moderate_v2,positive,moderate_v2,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p10_right_early_loading_v1_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p10_right_early_loading_v2_M1,v7_moderate_v2,positive,moderate_v2,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p10_right_early_loading_v2_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p10_right_mid_loading_early_stance_v0_M1,v7_moderate_v2,positive,moderate_v2,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p10_right_mid_loading_early_stance_v0_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p10_right_mid_loading_early_stance_v1_M1,v7_moderate_v2,positive,moderate_v2,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p10_right_mid_loading_early_stance_v1_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p10_right_mid_loading_early_stance_v2_M1,v7_moderate_v2,positive,moderate_v2,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p10_right_mid_loading_early_stance_v2_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p10_right_mid_late_stance_v0_M1,v7_moderate_v2,positive,moderate_v2,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p10_right_mid_late_stance_v0_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p10_right_mid_late_stance_v1_M1,v7_moderate_v2,positive,moderate_v2,False,FAILED_SOURCE_DIAGNOSTIC_ONLY,False,failed source retained for diagnosis only,False,True
control_0p10_right_mid_late_stance_v1_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p10_right_mid_late_stance_v2_M1,v7_moderate_v2,positive,moderate_v2,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p10_right_mid_late_stance_v2_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_left_early_loading_v0_M1,v7_moderate_v2,positive,moderate_v2,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p15_left_early_loading_v0_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_left_early_loading_v1_M1,v7_moderate_v2,positive,moderate_v2,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p15_left_early_loading_v1_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_left_early_loading_v2_M1,v7_moderate_v2,positive,moderate_v2,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p15_left_early_loading_v2_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_left_mid_loading_early_stance_v0_M1,v7_moderate_v2,positive,moderate_v2,False,FAILED_SOURCE_DIAGNOSTIC_ONLY,False,failed source retained for diagnosis only,False,True
control_0p15_left_mid_loading_early_stance_v0_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_left_mid_loading_early_stance_v1_M1,v7_moderate_v2,positive,moderate_v2,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p15_left_mid_loading_early_stance_v1_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_left_mid_loading_early_stance_v2_M1,v7_moderate_v2,positive,moderate_v2,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p15_left_mid_loading_early_stance_v2_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_left_mid_late_stance_v0_M1,v7_moderate_v2,positive,moderate_v2,False,FAILED_SOURCE_DIAGNOSTIC_ONLY,False,failed source retained for diagnosis only,False,True
control_0p15_left_mid_late_stance_v0_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_left_mid_late_stance_v1_M1,v7_moderate_v2,positive,moderate_v2,False,FAILED_SOURCE_DIAGNOSTIC_ONLY,False,failed source retained for diagnosis only,False,True
control_0p15_left_mid_late_stance_v1_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_left_mid_late_stance_v2_M1,v7_moderate_v2,positive,moderate_v2,False,FAILED_SOURCE_DIAGNOSTIC_ONLY,False,failed source retained for diagnosis only,False,True
control_0p15_left_mid_late_stance_v2_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_right_early_loading_v0_M1,v7_moderate_v2,positive,moderate_v2,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p15_right_early_loading_v0_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_right_early_loading_v1_M1,v7_moderate_v2,positive,moderate_v2,False,FAILED_SOURCE_DIAGNOSTIC_ONLY,False,failed source retained for diagnosis only,False,True
control_0p15_right_early_loading_v1_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_right_early_loading_v2_M1,v7_moderate_v2,positive,moderate_v2,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p15_right_early_loading_v2_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_right_mid_loading_early_stance_v0_M1,v7_moderate_v2,positive,moderate_v2,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p15_right_mid_loading_early_stance_v0_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_right_mid_loading_early_stance_v1_M1,v7_moderate_v2,positive,moderate_v2,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p15_right_mid_loading_early_stance_v1_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_right_mid_loading_early_stance_v2_M1,v7_moderate_v2,positive,moderate_v2,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p15_right_mid_loading_early_stance_v2_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_right_mid_late_stance_v0_M1,v7_moderate_v2,positive,moderate_v2,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p15_right_mid_late_stance_v0_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_right_mid_late_stance_v1_M1,v7_moderate_v2,positive,moderate_v2,True,POSITIVE_ELIGIBLE,True,valid physical source/control,True,False
control_0p15_right_mid_late_stance_v1_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p15_right_mid_late_stance_v2_M1,v7_moderate_v2,positive,moderate_v2,False,FAILED_SOURCE_DIAGNOSTIC_ONLY,False,failed source retained for diagnosis only,False,True
control_0p15_right_mid_late_stance_v2_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
positive_0p20_left_early_loading_v0_M1,v7_moderate_v2,positive,moderate_v2,False,FAILED_SOURCE_DIAGNOSTIC_ONLY,False,failed source retained for diagnosis only,False,True
control_0p20_left_early_loading_v0_M1,v7_moderate_v2,control,moderate_v2,True,CONTROL_ELIGIBLE,True,valid physical source/control,True,False
