run_id,fold,source_acquisition,role,pair_id,run_group,variation_group,contact_episode_group,pair_run_variation_episode_leakage
sand_solref_interpolation_3of4_stronger_v2_0p15_v00,0,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p15_v00,existing_v2:v0,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p15_v00:all,0
sand_solref_interpolation_5of6_stronger_v2_0p15_v00,0,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p15_v00,existing_v2:v0,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p15_v00:all,0
marble_native_0p20_v00,0,existing_valid_120_bilateral_development,hard_negative,,existing_v2:marble_native_0p20_v00,existing_v2:v0,existing_v2:marble_native_0p20_v00:all,0
concrete_native_0p20_v00,0,existing_valid_120_bilateral_development,hard_negative,,existing_v2:concrete_native_0p20_v00,existing_v2:v0,existing_v2:concrete_native_0p20_v00:all,0
sand_hardened_0p20_v00,0,existing_valid_120_bilateral_development,hard_negative,,existing_v2:sand_hardened_0p20_v00,existing_v2:v0,existing_v2:sand_hardened_0p20_v00:all,0
ice_native_0p20_v00,0,existing_valid_120_bilateral_development,slip_candidate,,existing_v2:ice_native_0p20_v00,existing_v2:v0,existing_v2:ice_native_0p20_v00:all,0
sand_solref_interpolation_1of3_0p20_v00,0,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_1of3_0p20_v00,existing_v2:v0,existing_v2:sand_solref_interpolation_1of3_0p20_v00:all,0
sand_solref_interpolation_2of3_0p20_v00,0,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_2of3_0p20_v00,existing_v2:v0,existing_v2:sand_solref_interpolation_2of3_0p20_v00:all,0
sand_solref_interpolation_3of4_stronger_v2_0p20_v00,0,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p20_v00,existing_v2:v0,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p20_v00:all,0
sand_solref_interpolation_5of6_stronger_v2_0p20_v00,0,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p20_v00,existing_v2:v0,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p20_v00:all,0
marble_native_0p10_v01,1,existing_valid_120_bilateral_development,hard_negative,,existing_v2:marble_native_0p10_v01,existing_v2:v1,existing_v2:marble_native_0p10_v01:all,0
concrete_native_0p10_v01,1,existing_valid_120_bilateral_development,hard_negative,,existing_v2:concrete_native_0p10_v01,existing_v2:v1,existing_v2:concrete_native_0p10_v01:all,0
sand_hardened_0p10_v01,1,existing_valid_120_bilateral_development,hard_negative,,existing_v2:sand_hardened_0p10_v01,existing_v2:v1,existing_v2:sand_hardened_0p10_v01:all,0
ice_native_0p10_v01,1,existing_valid_120_bilateral_development,slip_candidate,,existing_v2:ice_native_0p10_v01,existing_v2:v1,existing_v2:ice_native_0p10_v01:all,0
sand_solref_interpolation_1of3_0p10_v01,1,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_1of3_0p10_v01,existing_v2:v1,existing_v2:sand_solref_interpolation_1of3_0p10_v01:all,0
sand_solref_interpolation_2of3_0p10_v01,1,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_2of3_0p10_v01,existing_v2:v1,existing_v2:sand_solref_interpolation_2of3_0p10_v01:all,0
sand_solref_interpolation_3of4_stronger_v2_0p10_v01,1,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p10_v01,existing_v2:v1,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p10_v01:all,0
sand_solref_interpolation_5of6_stronger_v2_0p10_v01,1,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p10_v01,existing_v2:v1,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p10_v01:all,0
marble_native_0p15_v01,1,existing_valid_120_bilateral_development,hard_negative,,existing_v2:marble_native_0p15_v01,existing_v2:v1,existing_v2:marble_native_0p15_v01:all,0
concrete_native_0p15_v01,1,existing_valid_120_bilateral_development,hard_negative,,existing_v2:concrete_native_0p15_v01,existing_v2:v1,existing_v2:concrete_native_0p15_v01:all,0
sand_hardened_0p15_v01,1,existing_valid_120_bilateral_development,hard_negative,,existing_v2:sand_hardened_0p15_v01,existing_v2:v1,existing_v2:sand_hardened_0p15_v01:all,0
ice_native_0p15_v01,1,existing_valid_120_bilateral_development,slip_candidate,,existing_v2:ice_native_0p15_v01,existing_v2:v1,existing_v2:ice_native_0p15_v01:all,0
sand_solref_interpolation_1of3_0p15_v01,1,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_1of3_0p15_v01,existing_v2:v1,existing_v2:sand_solref_interpolation_1of3_0p15_v01:all,0
sand_solref_interpolation_2of3_0p15_v01,1,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_2of3_0p15_v01,existing_v2:v1,existing_v2:sand_solref_interpolation_2of3_0p15_v01:all,0
sand_solref_interpolation_3of4_stronger_v2_0p15_v01,1,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p15_v01,existing_v2:v1,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p15_v01:all,0
sand_solref_interpolation_5of6_stronger_v2_0p15_v01,1,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p15_v01,existing_v2:v1,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p15_v01:all,0
marble_native_0p20_v01,1,existing_valid_120_bilateral_development,hard_negative,,existing_v2:marble_native_0p20_v01,existing_v2:v1,existing_v2:marble_native_0p20_v01:all,0
concrete_native_0p20_v01,1,existing_valid_120_bilateral_development,hard_negative,,existing_v2:concrete_native_0p20_v01,existing_v2:v1,existing_v2:concrete_native_0p20_v01:all,0
sand_hardened_0p20_v01,1,existing_valid_120_bilateral_development,hard_negative,,existing_v2:sand_hardened_0p20_v01,existing_v2:v1,existing_v2:sand_hardened_0p20_v01:all,0
ice_native_0p20_v01,1,existing_valid_120_bilateral_development,slip_candidate,,existing_v2:ice_native_0p20_v01,existing_v2:v1,existing_v2:ice_native_0p20_v01:all,0
sand_solref_interpolation_1of3_0p20_v01,1,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_1of3_0p20_v01,existing_v2:v1,existing_v2:sand_solref_interpolation_1of3_0p20_v01:all,0
sand_solref_interpolation_2of3_0p20_v01,1,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_2of3_0p20_v01,existing_v2:v1,existing_v2:sand_solref_interpolation_2of3_0p20_v01:all,0
sand_solref_interpolation_3of4_stronger_v2_0p20_v01,1,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p20_v01,existing_v2:v1,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p20_v01:all,0
sand_solref_interpolation_5of6_stronger_v2_0p20_v01,1,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p20_v01,existing_v2:v1,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p20_v01:all,0
marble_native_0p10_v02,2,existing_valid_120_bilateral_development,hard_negative,,existing_v2:marble_native_0p10_v02,existing_v2:v2,existing_v2:marble_native_0p10_v02:all,0
concrete_native_0p10_v02,2,existing_valid_120_bilateral_development,hard_negative,,existing_v2:concrete_native_0p10_v02,existing_v2:v2,existing_v2:concrete_native_0p10_v02:all,0
sand_hardened_0p10_v02,2,existing_valid_120_bilateral_development,hard_negative,,existing_v2:sand_hardened_0p10_v02,existing_v2:v2,existing_v2:sand_hardened_0p10_v02:all,0
ice_native_0p10_v02,2,existing_valid_120_bilateral_development,slip_candidate,,existing_v2:ice_native_0p10_v02,existing_v2:v2,existing_v2:ice_native_0p10_v02:all,0
sand_solref_interpolation_1of3_0p10_v02,2,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_1of3_0p10_v02,existing_v2:v2,existing_v2:sand_solref_interpolation_1of3_0p10_v02:all,0
sand_solref_interpolation_2of3_0p10_v02,2,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_2of3_0p10_v02,existing_v2:v2,existing_v2:sand_solref_interpolation_2of3_0p10_v02:all,0
sand_solref_interpolation_3of4_stronger_v2_0p10_v02,2,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p10_v02,existing_v2:v2,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p10_v02:all,0
sand_solref_interpolation_5of6_stronger_v2_0p10_v02,2,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p10_v02,existing_v2:v2,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p10_v02:all,0
marble_native_0p15_v02,2,existing_valid_120_bilateral_development,hard_negative,,existing_v2:marble_native_0p15_v02,existing_v2:v2,existing_v2:marble_native_0p15_v02:all,0
concrete_native_0p15_v02,2,existing_valid_120_bilateral_development,hard_negative,,existing_v2:concrete_native_0p15_v02,existing_v2:v2,existing_v2:concrete_native_0p15_v02:all,0
sand_hardened_0p15_v02,2,existing_valid_120_bilateral_development,hard_negative,,existing_v2:sand_hardened_0p15_v02,existing_v2:v2,existing_v2:sand_hardened_0p15_v02:all,0
ice_native_0p15_v02,2,existing_valid_120_bilateral_development,slip_candidate,,existing_v2:ice_native_0p15_v02,existing_v2:v2,existing_v2:ice_native_0p15_v02:all,0
sand_solref_interpolation_1of3_0p15_v02,2,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_1of3_0p15_v02,existing_v2:v2,existing_v2:sand_solref_interpolation_1of3_0p15_v02:all,0
sand_solref_interpolation_2of3_0p15_v02,2,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_2of3_0p15_v02,existing_v2:v2,existing_v2:sand_solref_interpolation_2of3_0p15_v02:all,0
sand_solref_interpolation_3of4_stronger_v2_0p15_v02,2,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p15_v02,existing_v2:v2,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p15_v02:all,0
sand_solref_interpolation_5of6_stronger_v2_0p15_v02,2,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p15_v02,existing_v2:v2,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p15_v02:all,0
marble_native_0p20_v02,2,existing_valid_120_bilateral_development,hard_negative,,existing_v2:marble_native_0p20_v02,existing_v2:v2,existing_v2:marble_native_0p20_v02:all,0
concrete_native_0p20_v02,2,existing_valid_120_bilateral_development,hard_negative,,existing_v2:concrete_native_0p20_v02,existing_v2:v2,existing_v2:concrete_native_0p20_v02:all,0
sand_hardened_0p20_v02,2,existing_valid_120_bilateral_development,hard_negative,,existing_v2:sand_hardened_0p20_v02,existing_v2:v2,existing_v2:sand_hardened_0p20_v02:all,0
ice_native_0p20_v02,2,existing_valid_120_bilateral_development,slip_candidate,,existing_v2:ice_native_0p20_v02,existing_v2:v2,existing_v2:ice_native_0p20_v02:all,0
sand_solref_interpolation_1of3_0p20_v02,2,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_1of3_0p20_v02,existing_v2:v2,existing_v2:sand_solref_interpolation_1of3_0p20_v02:all,0
sand_solref_interpolation_2of3_0p20_v02,2,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_2of3_0p20_v02,existing_v2:v2,existing_v2:sand_solref_interpolation_2of3_0p20_v02:all,0
sand_solref_interpolation_3of4_stronger_v2_0p20_v02,2,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p20_v02,existing_v2:v2,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p20_v02:all,0
sand_solref_interpolation_5of6_stronger_v2_0p20_v02,2,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p20_v02,existing_v2:v2,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p20_v02:all,0
marble_native_0p10_v03,0,existing_valid_120_bilateral_development,hard_negative,,existing_v2:marble_native_0p10_v03,existing_v2:v3,existing_v2:marble_native_0p10_v03:all,0
concrete_native_0p10_v03,0,existing_valid_120_bilateral_development,hard_negative,,existing_v2:concrete_native_0p10_v03,existing_v2:v3,existing_v2:concrete_native_0p10_v03:all,0
sand_hardened_0p10_v03,0,existing_valid_120_bilateral_development,hard_negative,,existing_v2:sand_hardened_0p10_v03,existing_v2:v3,existing_v2:sand_hardened_0p10_v03:all,0
ice_native_0p10_v03,0,existing_valid_120_bilateral_development,slip_candidate,,existing_v2:ice_native_0p10_v03,existing_v2:v3,existing_v2:ice_native_0p10_v03:all,0
sand_solref_interpolation_1of3_0p10_v03,0,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_1of3_0p10_v03,existing_v2:v3,existing_v2:sand_solref_interpolation_1of3_0p10_v03:all,0
sand_solref_interpolation_2of3_0p10_v03,0,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_2of3_0p10_v03,existing_v2:v3,existing_v2:sand_solref_interpolation_2of3_0p10_v03:all,0
sand_solref_interpolation_3of4_stronger_v2_0p10_v03,0,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p10_v03,existing_v2:v3,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p10_v03:all,0
sand_solref_interpolation_5of6_stronger_v2_0p10_v03,0,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p10_v03,existing_v2:v3,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p10_v03:all,0
marble_native_0p15_v03,0,existing_valid_120_bilateral_development,hard_negative,,existing_v2:marble_native_0p15_v03,existing_v2:v3,existing_v2:marble_native_0p15_v03:all,0
concrete_native_0p15_v03,0,existing_valid_120_bilateral_development,hard_negative,,existing_v2:concrete_native_0p15_v03,existing_v2:v3,existing_v2:concrete_native_0p15_v03:all,0
sand_hardened_0p15_v03,0,existing_valid_120_bilateral_development,hard_negative,,existing_v2:sand_hardened_0p15_v03,existing_v2:v3,existing_v2:sand_hardened_0p15_v03:all,0
ice_native_0p15_v03,0,existing_valid_120_bilateral_development,slip_candidate,,existing_v2:ice_native_0p15_v03,existing_v2:v3,existing_v2:ice_native_0p15_v03:all,0
sand_solref_interpolation_1of3_0p15_v03,0,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_1of3_0p15_v03,existing_v2:v3,existing_v2:sand_solref_interpolation_1of3_0p15_v03:all,0
sand_solref_interpolation_2of3_0p15_v03,0,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_2of3_0p15_v03,existing_v2:v3,existing_v2:sand_solref_interpolation_2of3_0p15_v03:all,0
sand_solref_interpolation_3of4_stronger_v2_0p15_v03,0,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p15_v03,existing_v2:v3,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p15_v03:all,0
sand_solref_interpolation_5of6_stronger_v2_0p15_v03,0,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p15_v03,existing_v2:v3,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p15_v03:all,0
marble_native_0p20_v03,0,existing_valid_120_bilateral_development,hard_negative,,existing_v2:marble_native_0p20_v03,existing_v2:v3,existing_v2:marble_native_0p20_v03:all,0
concrete_native_0p20_v03,0,existing_valid_120_bilateral_development,hard_negative,,existing_v2:concrete_native_0p20_v03,existing_v2:v3,existing_v2:concrete_native_0p20_v03:all,0
sand_hardened_0p20_v03,0,existing_valid_120_bilateral_development,hard_negative,,existing_v2:sand_hardened_0p20_v03,existing_v2:v3,existing_v2:sand_hardened_0p20_v03:all,0
ice_native_0p20_v03,0,existing_valid_120_bilateral_development,slip_candidate,,existing_v2:ice_native_0p20_v03,existing_v2:v3,existing_v2:ice_native_0p20_v03:all,0
sand_solref_interpolation_1of3_0p20_v03,0,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_1of3_0p20_v03,existing_v2:v3,existing_v2:sand_solref_interpolation_1of3_0p20_v03:all,0
sand_solref_interpolation_2of3_0p20_v03,0,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_2of3_0p20_v03,existing_v2:v3,existing_v2:sand_solref_interpolation_2of3_0p20_v03:all,0
sand_solref_interpolation_3of4_stronger_v2_0p20_v03,0,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p20_v03,existing_v2:v3,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p20_v03:all,0
sand_solref_interpolation_5of6_stronger_v2_0p20_v03,0,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p20_v03,existing_v2:v3,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p20_v03:all,0
marble_native_0p10_v04,1,existing_valid_120_bilateral_development,hard_negative,,existing_v2:marble_native_0p10_v04,existing_v2:v4,existing_v2:marble_native_0p10_v04:all,0
concrete_native_0p10_v04,1,existing_valid_120_bilateral_development,hard_negative,,existing_v2:concrete_native_0p10_v04,existing_v2:v4,existing_v2:concrete_native_0p10_v04:all,0
sand_hardened_0p10_v04,1,existing_valid_120_bilateral_development,hard_negative,,existing_v2:sand_hardened_0p10_v04,existing_v2:v4,existing_v2:sand_hardened_0p10_v04:all,0
ice_native_0p10_v04,1,existing_valid_120_bilateral_development,slip_candidate,,existing_v2:ice_native_0p10_v04,existing_v2:v4,existing_v2:ice_native_0p10_v04:all,0
sand_solref_interpolation_1of3_0p10_v04,1,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_1of3_0p10_v04,existing_v2:v4,existing_v2:sand_solref_interpolation_1of3_0p10_v04:all,0
sand_solref_interpolation_2of3_0p10_v04,1,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_2of3_0p10_v04,existing_v2:v4,existing_v2:sand_solref_interpolation_2of3_0p10_v04:all,0
sand_solref_interpolation_3of4_stronger_v2_0p10_v04,1,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p10_v04,existing_v2:v4,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p10_v04:all,0
sand_solref_interpolation_5of6_stronger_v2_0p10_v04,1,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p10_v04,existing_v2:v4,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p10_v04:all,0
marble_native_0p15_v04,1,existing_valid_120_bilateral_development,hard_negative,,existing_v2:marble_native_0p15_v04,existing_v2:v4,existing_v2:marble_native_0p15_v04:all,0
concrete_native_0p15_v04,1,existing_valid_120_bilateral_development,hard_negative,,existing_v2:concrete_native_0p15_v04,existing_v2:v4,existing_v2:concrete_native_0p15_v04:all,0
sand_hardened_0p15_v04,1,existing_valid_120_bilateral_development,hard_negative,,existing_v2:sand_hardened_0p15_v04,existing_v2:v4,existing_v2:sand_hardened_0p15_v04:all,0
ice_native_0p15_v04,1,existing_valid_120_bilateral_development,slip_candidate,,existing_v2:ice_native_0p15_v04,existing_v2:v4,existing_v2:ice_native_0p15_v04:all,0
sand_solref_interpolation_1of3_0p15_v04,1,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_1of3_0p15_v04,existing_v2:v4,existing_v2:sand_solref_interpolation_1of3_0p15_v04:all,0
sand_solref_interpolation_2of3_0p15_v04,1,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_2of3_0p15_v04,existing_v2:v4,existing_v2:sand_solref_interpolation_2of3_0p15_v04:all,0
sand_solref_interpolation_3of4_stronger_v2_0p15_v04,1,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p15_v04,existing_v2:v4,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p15_v04:all,0
sand_solref_interpolation_5of6_stronger_v2_0p15_v04,1,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p15_v04,existing_v2:v4,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p15_v04:all,0
marble_native_0p20_v04,1,existing_valid_120_bilateral_development,hard_negative,,existing_v2:marble_native_0p20_v04,existing_v2:v4,existing_v2:marble_native_0p20_v04:all,0
concrete_native_0p20_v04,1,existing_valid_120_bilateral_development,hard_negative,,existing_v2:concrete_native_0p20_v04,existing_v2:v4,existing_v2:concrete_native_0p20_v04:all,0
sand_hardened_0p20_v04,1,existing_valid_120_bilateral_development,hard_negative,,existing_v2:sand_hardened_0p20_v04,existing_v2:v4,existing_v2:sand_hardened_0p20_v04:all,0
ice_native_0p20_v04,1,existing_valid_120_bilateral_development,slip_candidate,,existing_v2:ice_native_0p20_v04,existing_v2:v4,existing_v2:ice_native_0p20_v04:all,0
sand_solref_interpolation_1of3_0p20_v04,1,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_1of3_0p20_v04,existing_v2:v4,existing_v2:sand_solref_interpolation_1of3_0p20_v04:all,0
sand_solref_interpolation_2of3_0p20_v04,1,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_2of3_0p20_v04,existing_v2:v4,existing_v2:sand_solref_interpolation_2of3_0p20_v04:all,0
sand_solref_interpolation_3of4_stronger_v2_0p20_v04,1,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p20_v04,existing_v2:v4,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p20_v04:all,0
sand_solref_interpolation_5of6_stronger_v2_0p20_v04,1,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p20_v04,existing_v2:v4,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p20_v04:all,0
positive_0p10_left_early_loading_native_strong_ice_v0,0,v5_strong,positive,v5:v5_pair_000,v5_strong:positive_0p10_left_early_loading_native_strong_ice_v0,v5_strong:v0,v5_strong:positive_0p10_left_early_loading_native_strong_ice_v0:all,0
control_0p10_left_early_loading_native_strong_ice_v0,0,v5_strong,control,v5:v5_pair_000,v5_strong:control_0p10_left_early_loading_native_strong_ice_v0,v5_strong:v0,v5_strong:control_0p10_left_early_loading_native_strong_ice_v0:all,0
positive_0p10_left_early_loading_native_strong_ice_v1,1,v5_strong,positive,v5:v5_pair_001,v5_strong:positive_0p10_left_early_loading_native_strong_ice_v1,v5_strong:v1,v5_strong:positive_0p10_left_early_loading_native_strong_ice_v1:all,0
control_0p10_left_early_loading_native_strong_ice_v1,1,v5_strong,control,v5:v5_pair_001,v5_strong:control_0p10_left_early_loading_native_strong_ice_v1,v5_strong:v1,v5_strong:control_0p10_left_early_loading_native_strong_ice_v1:all,0
positive_0p10_left_early_loading_native_strong_ice_v2,2,v5_strong,positive,v5:v5_pair_002,v5_strong:positive_0p10_left_early_loading_native_strong_ice_v2,v5_strong:v2,v5_strong:positive_0p10_left_early_loading_native_strong_ice_v2:all,0
control_0p10_left_early_loading_native_strong_ice_v2,2,v5_strong,control,v5:v5_pair_002,v5_strong:control_0p10_left_early_loading_native_strong_ice_v2,v5_strong:v2,v5_strong:control_0p10_left_early_loading_native_strong_ice_v2:all,0
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v0,0,v5_strong,positive,v5:v5_pair_006,v5_strong:positive_0p10_left_mid_loading_early_stance_native_strong_ice_v0,v5_strong:v0,v5_strong:positive_0p10_left_mid_loading_early_stance_native_strong_ice_v0:all,0
control_0p10_left_mid_loading_early_stance_native_strong_ice_v0,0,v5_strong,control,v5:v5_pair_006,v5_strong:control_0p10_left_mid_loading_early_stance_native_strong_ice_v0,v5_strong:v0,v5_strong:control_0p10_left_mid_loading_early_stance_native_strong_ice_v0:all,0
